lat,lon,alt,date,device,os,version
53.5652313232,-1.77458167076,223.410568237,2013-01-19 23:51:28,"iPhone3,1",6.0.1,1.1
53.5690002441,-1.80445802212,240.675415039,2013-01-20 00:02:08,"iPhone3,1",6.0.1,1.1
53.5650634766,-1.77311944962,236.402450562,2013-01-20 00:21:20,"iPhone3,1",6.0.1,1.1
53.5690498352,-1.8049967289,238.955673218,2013-01-20 00:32:00,"iPhone3,1",6.0.1,1.1
53.5652236938,-1.77459800243,220.13571167,2013-01-20 00:51:12,"iPhone3,1",6.0.1,1.1
53.5688400269,-1.80426990986,214.960983276,2013-01-20 01:01:52,"iPhone3,1",6.0.1,1.1
53.5651741028,-1.77397155762,246.514526367,2013-01-20 01:21:04,"iPhone3,1",6.0.1,1.1
53.568862915,-1.80423641205,254.873718262,2013-01-20 01:31:44,"iPhone3,1",6.0.1,1.1
53.5652275085,-1.77424800396,208.004394531,2013-01-20 01:57:20,"iPhone3,1",6.0.1,1.1
53.5693855286,-1.80526745319,247.747970581,2013-01-20 02:03:44,"iPhone3,1",6.0.1,1.1
53.5652656555,-1.77461147308,230.060150146,2013-01-20 02:52:48,"iPhone3,1",6.0.1,1.1
53.5689849854,-1.80436313152,241.852645874,2013-01-20 03:01:20,"iPhone3,1",6.0.1,1.1
53.5649719238,-1.77245354652,251.863342285,2013-01-20 03:20:32,"iPhone3,1",6.0.1,1.1
53.5687294006,-1.80152213573,259.295959473,2013-01-20 03:31:12,"iPhone3,1",6.0.1,1.1
53.5652084351,-1.77440369129,244.502044678,2013-01-20 03:50:24,"iPhone3,1",6.0.1,1.1
53.5691146851,-1.80560588837,202.91784668,2013-01-20 04:05:20,"iPhone3,1",6.0.1,1.1
53.5648956299,-1.77191209793,254.730743408,2013-01-20 04:26:40,"iPhone3,1",6.0.1,1.1
53.5688438416,-1.80417621136,238.687973022,2013-01-20 04:41:36,"iPhone3,1",6.0.1,1.1
53.5649375916,-1.7722568512,270.557434082,2013-01-20 05:00:48,"iPhone3,1",6.0.1,1.1
53.5689964294,-1.80521130562,219.62020874,2013-01-20 05:15:44,"iPhone3,1",6.0.1,1.1
53.5655021667,-1.77672684193,242.457672119,2013-01-20 05:45:36,"iPhone3,1",6.0.1,1.1
